Month,Passengers
1980-01-01,0.039605737
1980-02-01,0.06773102
1980-03-01,0.12881792
1980-04-01,0.11621845
1980-05-01,0.08133125
1980-06-01,0.14117157
1980-07-01,0.19209278
1980-08-01,0.19209278
1980-09-01,0.14523637
1980-10-01,0.072297454
1980-11-01,0.0
1980-12-01,0.06773102
1981-01-01,0.053827643
1981-02-01,0.103361726
1981-03-01,0.16517985
1981-04-01,0.14117157
1981-05-01,0.099016905
1981-06-01,0.19584668
1981-07-01,0.27002013
1981-08-01,0.27002013
1981-09-01,0.22868168
1981-10-01,0.13296258
1981-11-01,0.04912305
1981-12-01,0.16124094
1982-01-01,0.18069685
1982-02-01,0.19957888
1982-03-01,0.29619086
1982-04-01,0.24622667
1982-05-01,0.27666152
1982-06-01,0.29619086
1982-07-01,0.36031353
1982-08-01,0.36031353
1982-09-01,0.3151561
1982-10-01,0.24275553
1982-11-01,0.18451798
1982-12-01,0.2565304
1983-01-01,0.2733494
1983-02-01,0.30257356
1983-03-01,0.3426181
1983-04-01,0.30574167
1983-05-01,0.31203282
1983-06-01,0.41343987
1983-07-01,0.44495094
1983-08-01,0.47506154
1983-09-01,0.3887993
1983-10-01,0.33661306
1983-11-01,0.27666152
1983-12-01,0.34560025
1984-01-01,0.3515247
1984-02-01,0.3515247
1984-03-01,0.460173
1984-04-01,0.4576596
1984-05-01,0.44238055
1984-06-01,0.47751153
1984-07-01,0.52703583
1984-08-01,0.54500306
1984-09-01,0.46267688
1984-10-01,0.39435375
1984-11-01,0.30257356
1984-12-01,0.36610878
1985-01-01,0.3747083
1985-02-01,0.32750237
1985-03-01,0.4576596
1985-04-01,0.43720973
1985-05-01,0.45513666
1985-06-01,0.52703583
1985-07-01,0.60851634
1985-08-01,0.5900625
1985-09-01,0.51556456
1985-10-01,0.44238055
1985-11-01,0.3718542
1985-12-01,0.44238055
1986-01-01,0.47506154
1986-02-01,0.45260465
1986-03-01,0.53382814
1986-04-01,0.53831995
1986-05-01,0.54055464
1986-06-01,0.6343428
1986-07-01,0.72400844
1986-08-01,0.6941625
1986-09-01,0.6284667
1986-10-01,0.54942214
1986-11-01,0.46267688
1986-12-01,0.5581778
1987-01-01,0.5711075
1987-02-01,0.5559989
1987-03-01,0.6382338
1987-04-01,0.63043106
1987-05-01,0.6401707
1987-06-01,0.7410017
1987-07-01,0.8036989
1987-08-01,0.7912725
1987-09-01,0.70836294
1987-10-01,0.61656463
1987-11-01,0.5427824
1987-12-01,0.61656463
1988-01-01,0.6343428
1988-02-01,0.6064898
1988-03-01,0.7101182
1988-04-01,0.695953
1988-05-01,0.70836294
1988-06-01,0.81743085
1988-07-01,0.8797051
1988-08-01,0.88247716
1988-09-01,0.7897042
1988-10-01,0.6941625
1988-11-01,0.61456144
1988-12-01,0.6741637
1989-01-01,0.68150103
1989-02-01,0.6401707
1989-03-01,0.7205614
1989-04-01,0.695953
1989-05-01,0.72228706
1989-06-01,0.8368207
1989-07-01,0.9149612
1989-08-01,0.9332746
1989-09-01,0.7897042
1989-10-01,0.7153586
1989-11-01,0.6245216
1989-12-01,0.676005
1990-01-01,0.7170969
1990-02-01,0.68514144
1990-03-01,0.79283726
1990-04-01,0.7770337
1990-05-01,0.81440127
1990-06-01,0.88936317
1990-07-01,0.9868792
1990-08-01,0.9999999
1990-09-01,0.8769225
1990-10-01,0.79439867
1990-11-01,0.7205614
1990-12-01,0.7912725
