,0
1980-01-01,0.017582417
1980-02-01,0.030769229
1980-03-01,0.061538458
1980-04-01,0.05494505
1980-05-01,0.037362635
1980-06-01,0.068131864
1980-07-01,0.09670329
1980-08-01,0.09670329
1980-09-01,0.070329666
1980-10-01,0.03296703
1980-11-01,0.0
1980-12-01,0.030769229
1981-01-01,0.024175823
1981-02-01,0.048351645
1981-03-01,0.08131868
1981-04-01,0.068131864
1981-05-01,0.046153843
1981-06-01,0.09890109
1981-07-01,0.14505494
1981-08-01,0.14505494
1981-09-01,0.11868131
1981-10-01,0.06373626
1981-11-01,0.02197802
1981-12-01,0.079120874
1982-01-01,0.090109885
1982-02-01,0.101098895
1982-03-01,0.16263735
1982-04-01,0.12967032
1982-05-01,0.14945054
1982-06-01,0.16263735
1982-07-01,0.20879123
1982-08-01,0.20879123
1982-09-01,0.17582417
1982-10-01,0.12747252
1982-11-01,0.09230769
1982-12-01,0.13626373
1983-01-01,0.14725274
1983-02-01,0.16703296
1983-03-01,0.19560441
1983-04-01,0.16923076
1983-05-01,0.17362636
1983-06-01,0.25054947
1983-07-01,0.2769231
1983-08-01,0.30329672
1983-09-01,0.23076925
1983-10-01,0.19120878
1983-11-01,0.14945054
1983-12-01,0.19780222
1984-01-01,0.20219782
1984-02-01,0.20219782
1984-03-01,0.2901099
1984-04-01,0.2879121
1984-05-01,0.2747253
1984-06-01,0.30549452
1984-07-01,0.35164836
1984-08-01,0.36923078
1984-09-01,0.2923077
1984-10-01,0.23516485
1984-11-01,0.16703296
1984-12-01,0.21318683
1985-01-01,0.21978024
1985-02-01,0.18461537
1985-03-01,0.2879121
1985-04-01,0.27032968
1985-05-01,0.2857143
1985-06-01,0.35164836
1985-07-01,0.43516484
1985-08-01,0.41538462
1985-09-01,0.34065935
1985-10-01,0.2747253
1985-11-01,0.21758243
1985-12-01,0.2747253
1986-01-01,0.30329672
1986-02-01,0.2835165
1986-03-01,0.35824177
1986-04-01,0.36263737
1986-05-01,0.36483517
1986-06-01,0.46373627
1986-07-01,0.57142854
1986-08-01,0.53406596
1986-09-01,0.45714286
1986-10-01,0.37362638
1986-11-01,0.2923077
1986-12-01,0.3824176
1987-01-01,0.3956044
1987-02-01,0.3802198
1987-03-01,0.46813187
1987-04-01,0.45934066
1987-05-01,0.47032967
1987-06-01,0.59340656
1987-07-01,0.6791209
1987-08-01,0.6615385
1987-09-01,0.5516484
1987-10-01,0.44395605
1987-11-01,0.36703297
1987-12-01,0.44395605
1988-01-01,0.46373627
1988-02-01,0.43296704
1988-03-01,0.5538461
1988-04-01,0.5362637
1988-05-01,0.5516484
1988-06-01,0.6989012
1988-07-01,0.7934066
1988-08-01,0.7978022
1988-09-01,0.65934074
1988-10-01,0.53406596
1988-11-01,0.44175825
1988-12-01,0.5098901
1989-01-01,0.5186813
1989-02-01,0.47032967
1989-03-01,0.56703293
1989-04-01,0.5362637
1989-05-01,0.5692308
1989-06-01,0.72747254
1989-07-01,0.85054946
1989-08-01,0.8813187
1989-09-01,0.65934074
1989-10-01,0.5604396
1989-11-01,0.45274726
1989-12-01,0.51208794
1990-01-01,0.5626373
1990-02-01,0.5230769
1990-03-01,0.66373634
1990-04-01,0.6417583
1990-05-01,0.6945056
1990-06-01,0.8087913
1990-07-01,0.97582424
1990-08-01,1.0000001
1990-09-01,0.789011
1990-10-01,0.6659341
1990-11-01,0.56703293
1990-12-01,0.6615385
